Rank,Team,Latest results,Upcoming matches,Points
124,Azerbaijan,FIFA World Cup 26™ UEFA QualifiersGroup D13 October 2025Ukraine2Azerbaijan113 October 2025FIFA World Cup 26™ UEFA QualifiersGroup D13 November 2025Azerbaijan0Iceland213 November 2025FIFA World Cup 26™ UEFA QualifiersGroup D16 November 2025Azerbaijan1France316 November 2025FIFA Series 2026™ AzerbaijanSemi-final27 March 2026Azerbaijan6St. Lucia127 March 2026FIFA Series 2026™ AzerbaijanSemi-final30 March 2026Azerbaijan1Sierra Leone130 March 2026,,1136.67
125,Suriname,FIFA World Cup 26™ Concacaf QualifiersGroup A10 October 2025Suriname1Guatemala110 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A15 October 2025Panama1Suriname115 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup A13 November 2025Suriname4El Salvador013 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup A19 November 2025Guatemala3Suriname119 November 2025FIFA World Cup 2026™ Play-Off TournamentPath B – Semi-final26 March 2026Bolivia2Suriname126 March 2026,,1132.43
126,Cyprus,FIFA World Cup 26™ UEFA QualifiersGroup H12 October 2025San Marino0Cyprus412 October 2025FIFA World Cup 26™ UEFA QualifiersGroup H15 November 2025Cyprus0Austria215 November 2025Friendly 202518 November 2025Cyprus2Estonia418 November 2025Friendly 202626 March 2026Cyprus0Belarus126 March 2026Friendly 202630 March 2026Cyprus3Moldova230 March 2026,SloveniaCyprus04 Jun16:00,1128.33
127,Malawi,FIFA World Cup 26™ CAF QualifiersGroup HForfeitedMalawiEquatorial GuineaForfeitedFIFA World Cup 26™ CAF QualifiersGroup H13 October 2025São Tomé and Príncipe1Malawi013 October 2025Friendly 202515 November 2025Lesotho0Malawi015 November 2025Friendly 202518 November 2025Lesotho0Malawi118 November 2025Four Nations Tournament - Botswana 2026Match for third place31 March 2026Malawi0Botswana131 March 2026,,1128.03
128,Rwanda,FIFA World Cup 26™ CAF QualifiersGroup C09 September 2025Zimbabwe0Rwanda109 September 2025FIFA World Cup 26™ CAF QualifiersGroup C10 October 2025Rwanda0Benin110 October 2025FIFA World Cup 26™ CAF QualifiersGroup C14 October 2025South Africa3Rwanda014 October 2025FIFA Series 2026™ RwandaSemi-final27 March 2026Rwanda4Grenada027 March 2026FIFA Series 2026™ RwandaFinal30 March 2026Rwanda2Estonia030 March 2026,,1126.62
129,Estonia,FIFA World Cup 26™ UEFA QualifiersGroup I14 October 2025Estonia1Moldova114 October 2025FIFA World Cup 26™ UEFA QualifiersGroup I13 November 2025Norway4Estonia113 November 2025Friendly 202518 November 2025Cyprus2Estonia418 November 2025FIFA Series 2026™ RwandaSemi-final27 March 2026Kenya1(4)EstoniaWon 5 - 4 On Penalties1(5)27 March 2026FIFA Series 2026™ RwandaFinal30 March 2026Rwanda2Estonia030 March 2026,EstoniaFaroe Islands06 Jun15:00,1121.10
130,Zimbabwe,Africa Cup of Nations 2025Group B22 December 2025Egypt2Zimbabwe122 December 2025Africa Cup of Nations 2025Group B26 December 2025Angola1Zimbabwe126 December 2025Africa Cup of Nations 2025Group B29 December 2025Zimbabwe2South Africa329 December 2025Four Nations Tournament - Botswana 2026Semi-final28 March 2026Botswana0Zimbabwe328 March 2026The Unity Cup 2026Semi-final26 May 2026Nigeria2Zimbabwe026 May 2026,ZimbabweIndia30 May13:30,1118.12*
131,Nicaragua,FIFA World Cup 26™ Concacaf QualifiersGroup C10 October 2025Nicaragua0Haiti310 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 October 2025Costa Rica4Nicaragua114 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup C14 November 2025Nicaragua2Honduras014 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup C19 November 2025Haiti2Nicaragua019 November 2025Friendly 202627 March 2026Russia3Nicaragua127 March 2026,,1115.13
132,Guinea-Bissau,FIFA World Cup 26™ CAF QualifiersGroup A08 September 2025Guinea-Bissau2Djibouti008 September 2025FIFA World Cup 26™ CAF QualifiersGroup A08 October 2025Ethiopia1Guinea-Bissau008 October 2025FIFA World Cup 26™ CAF QualifiersGroup A12 October 2025Egypt1Guinea-Bissau012 October 2025Friendly 202628 March 2026Burkina Faso5Guinea-Bissau028 March 2026Friendly 202631 March 2026Burkina Faso1Guinea-Bissau131 March 2026,,1108.38
133,Congo,African Nations Championship 2025 (CHAN) - Final Comp.Group D12 August 2025Senegal1Congo112 August 2025African Nations Championship 2025 (CHAN) - Final Comp.Group D19 August 2025Nigeria2Congo019 August 2025FIFA World Cup 26™ CAF QualifiersGroup E05 September 2025Congo1Tanzania105 September 2025FIFA World Cup 26™ CAF QualifiersGroup E08 October 2025Niger3Congo108 October 2025FIFA World Cup 26™ CAF QualifiersGroup E14 October 2025Morocco1Congo014 October 2025,,1105.96
134,Kuwait,Friendly 202518 November 2025Kuwait2The Gambia218 November 2025FIFA Arab Cup Qatar 2025™Play-off25 November 2025Mauritania0Kuwait225 November 2025FIFA Arab Cup Qatar 2025™Group C02 December 2025Egypt1Kuwait102 December 2025FIFA Arab Cup Qatar 2025™Group C06 December 2025Kuwait1Jordan306 December 2025FIFA Arab Cup Qatar 2025™Group C09 December 2025United Arab Emirates3Kuwait109 December 2025,ThailandKuwait05 Jun,1105.10
135,Philippines,Asian Nations Cup 2027 Prel. Comp.Group A10 June 2025Philippines2Tajikistan210 June 2025Asian Nations Cup 2027 Prel. Comp.Group A09 October 2025Timor-Leste1Philippines409 October 2025Asian Nations Cup 2027 Prel. Comp.Group A14 October 2025Philippines3Timor-Leste114 October 2025Asian Nations Cup 2027 Prel. Comp.Group A18 November 2025Maldives0Philippines218 November 2025Asian Nations Cup 2027 Prel. Comp.Group A31 March 2026Tajikistan1Philippines131 March 2026,PhilippinesGuam03 Jun11:30,1094.10
136,India,Asian Nations Cup 2027 Prel. Comp.Group C09 October 2025Singapore1India109 October 2025Asian Nations Cup 2027 Prel. Comp.Group C14 October 2025India1Singapore214 October 2025Asian Nations Cup 2027 Prel. Comp.Group C18 November 2025Bangladesh1India018 November 2025Asian Nations Cup 2027 Prel. Comp.Group C31 March 2026India2Hong Kong131 March 2026The Unity Cup 2026Semi-final27 May 2026Jamaica2India027 May 2026,ZimbabweIndia30 May13:30,1091.03*
137,Latvia,FIFA World Cup 26™ UEFA QualifiersGroup K14 October 2025Latvia0England514 October 2025Friendly 202513 November 2025North Macedonia0Latvia013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup K16 November 2025Serbia2Latvia116 November 2025UEFA Nations League 2024/25League C vs League D26 March 2026Gibraltar0Latvia126 March 2026UEFA Nations League 2024/25League C vs League D31 March 2026Latvia1Gibraltar031 March 2026,LithuaniaLatvia06 Jun13:00,1090.57
138,Malaysia,Friendly 2025ForfeitedMalaysiaPalestineForfeitedAsian Nations Cup 2027 Prel. Comp.Group F09 October 2025Laos0Malaysia309 October 2025Asian Nations Cup 2027 Prel. Comp.Group F14 October 2025Malaysia5Laos114 October 2025Asian Nations Cup 2027 Prel. Comp.Group F18 November 2025Nepal0Malaysia118 November 2025Asian Nations Cup 2027 Prel. Comp.Group F31 March 2026Vietnam3Malaysia131 March 2026,,1086.22
139,Central African Republic,African Nations Championship 2025 (CHAN) - Final Comp.Group B16 August 2025Central African Republic0Tanzania016 August 2025FIFA World Cup 26™ CAF QualifiersGroup I04 September 2025Madagascar2Central African Republic004 September 2025FIFA World Cup 26™ CAF QualifiersGroup I07 September 2025Central African Republic0Comoros207 September 2025FIFA World Cup 26™ CAF QualifiersGroup I08 October 2025Central African Republic0Ghana508 October 2025FIFA World Cup 26™ CAF QualifiersGroup I12 October 2025Chad2Central African Republic312 October 2025,,1083.57
140,Liberia,FIFA World Cup 26™ CAF QualifiersGroup H09 October 2025Liberia3Namibia109 October 2025FIFA World Cup 26™ CAF QualifiersGroup H13 October 2025Equatorial Guinea1Liberia113 October 2025Friendly 202515 November 2025Guinea2Liberia015 November 2025Friendly 202627 March 2026Benin1Liberia027 March 2026Friendly 202631 March 2026Liberia2Libya231 March 2026,,1079.02
141,Turkmenistan,CAFA Nations Cup 2025Group A05 September 2025Turkmenistan1Oman205 September 2025Asian Nations Cup 2027 Prel. Comp.Group D09 October 2025Sri Lanka1Turkmenistan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group D14 October 2025Turkmenistan2Sri Lanka114 October 2025Asian Nations Cup 2027 Prel. Comp.Group D18 November 2025Turkmenistan3Chinese Taipei118 November 2025Asian Nations Cup 2027 Prel. Comp.Group D31 March 2026Thailand2Turkmenistan131 March 2026,,1078.65
142,Burundi,FIFA World Cup 26™ CAF QualifiersGroup F09 September 2025The Gambia2Burundi009 September 2025FIFA World Cup 26™ CAF QualifiersGroup F09 October 2025Burundi0Kenya109 October 2025FIFA World Cup 26™ CAF QualifiersGroup F14 October 2025Gabon2Burundi014 October 2025CAN 2027 Prel. Comp.First Leg27 March 2026Chad0Burundi427 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Burundi4Chad031 March 2026,,1078.01
143,Dominican Republic,Friendly 202509 September 2025Jordan3Dominican Republic009 September 2025Friendly 202510 October 2025Uruguay1Dominican Republic010 October 2025CONCACAF Series 2025/26Group A13 November 2025Dominican Republic2St. Vincent / Grenadines013 November 2025CONCACAF Series 2025/26Group A27 March 2026Dominican Republic2El Salvador227 March 2026CONCACAF Series 2025/26Group A29 March 2026Dominican Republic1Cuba129 March 2026,,1077.95
144,Ethiopia,FIFA World Cup 26™ CAF QualifiersGroup A09 September 2025Sierra Leone2Ethiopia009 September 2025FIFA World Cup 26™ CAF QualifiersGroup A08 October 2025Ethiopia1Guinea-Bissau008 October 2025FIFA World Cup 26™ CAF QualifiersGroup A12 October 2025Burkina Faso3Ethiopia112 October 2025CAN 2027 Prel. Comp.First Leg27 March 2026São Tomé and Príncipe0Ethiopia327 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Ethiopia1São Tomé and Príncipe031 March 2026,,1071.55
145,Lesotho,FIFA World Cup 26™ CAF QualifiersGroup C13 October 2025Lesotho1Zimbabwe013 October 2025Friendly 202515 November 2025Lesotho0Malawi015 November 2025Friendly 202518 November 2025Lesotho0Malawi118 November 2025CAN 2027 Prel. Comp.First Leg26 March 2026Seychelles0Lesotho026 March 2026CAN 2027 Prel. Comp.Second Leg29 March 2026Lesotho2Seychelles129 March 2026,,1067.13
146,Botswana,Africa Cup of Nations 2025Group D23 December 2025Senegal3Botswana023 December 2025Africa Cup of Nations 2025Group D27 December 2025Benin1Botswana027 December 2025Africa Cup of Nations 2025Group D30 December 2025Botswana0Congo DR330 December 2025Four Nations Tournament - Botswana 2026Semi-final28 March 2026Botswana0Zimbabwe328 March 2026Four Nations Tournament - Botswana 2026Match for third place31 March 2026Malawi0Botswana131 March 2026,,1063.63
147,Singapore,Asian Nations Cup 2027 Prel. Comp.Group C09 October 2025Singapore1India109 October 2025Asian Nations Cup 2027 Prel. Comp.Group C14 October 2025India1Singapore214 October 2025Friendly 202513 November 2025Thailand3Singapore213 November 2025Asian Nations Cup 2027 Prel. Comp.Group C18 November 2025Hong Kong1Singapore218 November 2025Asian Nations Cup 2027 Prel. Comp.Group C31 March 2026Singapore1Bangladesh031 March 2026,SingaporeMongolia31 May11:30,1059.53
148,Lithuania,FIFA World Cup 26™ UEFA QualifiersGroup G12 October 2025Lithuania0Poland212 October 2025Friendly 202513 November 2025Lithuania0Israel013 November 2025FIFA World Cup 26™ UEFA QualifiersGroup G17 November 2025Netherlands4Lithuania017 November 2025Friendly 202626 March 2026Moldova0Lithuania226 March 2026Friendly 202629 March 2026Lithuania0Georgia229 March 2026,LithuaniaLatvia06 Jun13:00,1058.42
149,Yemen,Asian Nations Cup 2027 Prel. Comp.Group B10 June 2025Yemen0Lebanon010 June 2025Asian Nations Cup 2027 Prel. Comp.Group B09 October 2025Brunei0Yemen209 October 2025Asian Nations Cup 2027 Prel. Comp.Group B14 October 2025Yemen9Brunei014 October 2025Asian Nations Cup 2027 Prel. Comp.Group B18 November 2025Yemen7Bhutan118 November 2025FIFA Arab Cup Qatar 2025™Play-off26 November 2025ComorosWon 4 - 2 On Penalties4(4)Yemen4(2)26 November 2025,LebanonYemen04 Jun16:00,1049.49
150,Guyana,FIFA World Cup 26™ Concacaf QualifiersGroup D07 June 2025Nicaragua1Guyana007 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup D11 June 2025Guyana3Montserrat011 June 2025CONCACAF Series 2025/26Group C18 November 2025Antigua and Barbuda1Guyana418 November 2025CONCACAF Series 2025/26Group B27 March 2026Guyana2Dominica027 March 2026CONCACAF Series 2025/26Group B30 March 2026Guyana3Belize130 March 2026,,1049.32
151,New Caledonia,FIFA World Cup 26™ OFC QualifiersGroup A17 November 2024Fiji1New Caledonia117 November 2024FIFA World Cup 26™ OFC QualifiersThird Round - Semi-final21 March 2025New Caledonia3Tahiti021 March 2025FIFA World Cup 26™ OFC QualifiersThird Round - Final24 March 2025New Caledonia0New Zealand324 March 2025Friendly 202508 October 2025Gibraltar0New Caledonia208 October 2025FIFA World Cup 2026™ Play-Off TournamentPath A – Semi-final27 March 2026New Caledonia0Jamaica127 March 2026,,1036.95
152,St Kitts and Nevis,FIFA World Cup 26™ Concacaf QualifiersGroup B06 June 2025Trinidad and Tobago6St. Kitts and Nevis206 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup B10 June 2025St. Kitts and Nevis2Grenada310 June 2025CONCACAF Series 2025/26Group B18 November 2025St. Kitts and Nevis2Belize618 November 2025FIFA Series 2026™ IndonesiaSemi-final27 March 2026Indonesia4St. Kitts and Nevis027 March 2026FIFA Series 2026™ IndonesiaMatch for third place30 March 2026St. Kitts and Nevis4Solomon Islands230 March 2026,,1036.33
153,Solomon Islands,MSG Prime Minister's Cup 2024Group Matches18 December 2024Papua New Guinea3Solomon Islands218 December 2024MSG Prime Minister's Cup 2024Group Matches21 December 2024Solomon Islands1Fiji321 December 2024MSG Prime Minister's Cup 2025Group A13 November 2025Papua New Guinea1Solomon Islands013 November 2025FIFA Series 2026™ IndonesiaSemi-final27 March 2026Solomon Islands2Bulgaria1027 March 2026FIFA Series 2026™ IndonesiaMatch for third place30 March 2026St. Kitts and Nevis4Solomon Islands230 March 2026,,1031.89
154,Fiji,MSG Prime Minister's Cup 2024Group Matches21 December 2024Solomon Islands1Fiji321 December 2024FIFA World Cup 26™ OFC QualifiersThird Round - Semi-final21 March 2025New Zealand7Fiji021 March 2025Kings Cup 2025Semi-final04 September 2025Thailand3Fiji004 September 2025Kings Cup 2025Match for third place07 September 2025Hong Kong8Fiji007 September 2025MSG Prime Minister's Cup 2025Group B17 November 2025Vanuatu2Fiji017 November 2025,,1029.70
155,"Hong Kong, China",Asian Nations Cup 2027 Prel. Comp.Group C09 October 2025Bangladesh3Hong Kong409 October 2025Asian Nations Cup 2027 Prel. Comp.Group C14 October 2025Hong Kong1Bangladesh114 October 2025Friendly 202513 November 2025Hong Kong1Cambodia113 November 2025Asian Nations Cup 2027 Prel. Comp.Group C18 November 2025Hong Kong1Singapore218 November 2025Asian Nations Cup 2027 Prel. Comp.Group C31 March 2026India2Hong Kong131 March 2026,Hong KongMongolia05 Jun12:00,1026.63
156,Puerto Rico,FIFA World Cup 26™ Concacaf QualifiersGroup F06 June 2025Suriname1Puerto Rico006 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup F11 June 2025Puerto Rico2St. Vincent / Grenadines111 June 2025Friendly 202515 October 2025Argentina6Puerto Rico015 October 2025FIFA Series 2026™ Puerto RicoSemi-final26 March 2026Puerto Rico4Guam026 March 2026FIFA Series 2026™ Puerto RicoFinal29 March 2026US Virgin Islands0Puerto Rico229 March 2026,Puerto RicoSaudi Arabia06 Jun00:00,1026.11
157,Tahiti,OFC Nations Cup 2024Play-off for third place30 June 2024Tahiti2Fiji130 June 2024FIFA World Cup 26™ OFC QualifiersGroup B11 October 2024New Zealand3Tahiti011 October 2024FIFA World Cup 26™ OFC QualifiersGroup B15 November 2024Samoa0Tahiti315 November 2024FIFA World Cup 26™ OFC QualifiersGroup B18 November 2024Tahiti2Vanuatu018 November 2024FIFA World Cup 26™ OFC QualifiersThird Round - Semi-final21 March 2025New Caledonia3Tahiti021 March 2025,,1019.04
158,Myanmar,Friendly 202509 September 2025Singapore1Myanmar109 September 2025Asian Nations Cup 2027 Prel. Comp.Group E09 October 2025Syria5Myanmar109 October 2025Asian Nations Cup 2027 Prel. Comp.Group E14 October 2025Myanmar0Syria314 October 2025Asian Nations Cup 2027 Prel. Comp.Group E26 March 2026Afghanistan1Myanmar226 March 2026Asian Nations Cup 2027 Prel. Comp.Group E31 March 2026Pakistan1Myanmar231 March 2026,MyanmarGuam06 Jun11:30,1011.88
159,Moldova,FIFA World Cup 26™ UEFA QualifiersGroup I14 October 2025Estonia1Moldova114 October 2025FIFA World Cup 26™ UEFA QualifiersGroup I13 November 2025Moldova0Italy213 November 2025FIFA World Cup 26™ UEFA QualifiersGroup I16 November 2025Israel4Moldova116 November 2025Friendly 202626 March 2026Moldova0Lithuania226 March 2026Friendly 202630 March 2026Cyprus3Moldova230 March 2026,MoldovaBulgaria05 Jun17:00,1004.16
160,Vanuatu,FIFA World Cup 26™ OFC QualifiersGroup B18 November 2024Tahiti2Vanuatu018 November 2024MSG Prime Minister's Cup 2024Group Matches09 December 2024Solomon Islands4Vanuatu109 December 2024MSG Prime Minister's Cup 2024Group Matches12 December 2024Fiji1Vanuatu112 December 2024MSG Prime Minister's Cup 2024Group Matches21 December 2024Vanuatu1Papua New Guinea221 December 2024MSG Prime Minister's Cup 2025Group B17 November 2025Vanuatu2Fiji017 November 2025,,997.01
161,Malta,Friendly 202512 October 2025Malta1Bosnia and Herzegovina412 October 2025FIFA World Cup 26™ UEFA QualifiersGroup G14 November 2025Finland0Malta114 November 2025FIFA World Cup 26™ UEFA QualifiersGroup G17 November 2025Malta2Poland317 November 2025UEFA Nations League 2024/25League C vs League D26 March 2026Malta0Luxembourg226 March 2026UEFA Nations League 2024/25League C vs League D31 March 2026Luxembourg3Malta031 March 2026,SlovakiaMalta01 Jun16:00,987.73
162,Antigua and Barbuda,CONCACAF Nations League 2024/25Group D19 November 2024Antigua and Barbuda0Dominica019 November 2024FIFA World Cup 26™ Concacaf QualifiersGroup A06 June 2025Antigua and Barbuda0Cuba106 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup A11 June 2025Honduras2Antigua and Barbuda011 June 2025CONCACAF Series 2025/26Group C12 November 2025Antigua and Barbuda0Aruba012 November 2025CONCACAF Series 2025/26Group C18 November 2025Antigua and Barbuda1Guyana418 November 2025,,986.58
163,Grenada,Friendly 202511 October 2025Grenada2Cuba011 October 2025Friendly 202515 November 2025Grenada4US Virgin Islands115 November 2025FIFA Series 2026™ RwandaSemi-final27 March 2026Rwanda4Grenada027 March 2026FIFA Series 2026™ RwandaMatch for third place30 March 2026Grenada0Kenya330 March 2026Friendly 202616 May 2026Republic of Ireland5Grenada016 May 2026,,982.57*
164,Cuba,FIFA World Cup 26™ Concacaf QualifiersGroup A06 June 2025Antigua and Barbuda0Cuba106 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup A10 June 2025Cuba1Bermuda210 June 2025Friendly 202511 October 2025Grenada2Cuba011 October 2025CONCACAF Series 2025/26Group A12 November 2025Cuba3St. Lucia012 November 2025CONCACAF Series 2025/26Group A29 March 2026Dominican Republic1Cuba129 March 2026,,981.42
165,Eswatini,FIFA World Cup 26™ CAF QualifiersGroup D08 September 2025Libya2Eswatini008 September 2025FIFA World Cup 26™ CAF QualifiersGroup D08 October 2025Eswatini2Angola208 October 2025FIFA World Cup 26™ CAF QualifiersGroup D13 October 2025Cabo Verde3Eswatini013 October 2025CAN 2027 Prel. Comp.First Leg25 March 2026Eritrea2Eswatini025 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Eswatini1Eritrea231 March 2026,,979.01
166,Bermuda,FIFA World Cup 26™ Concacaf QualifiersGroup B10 September 2025Curaçao3Bermuda210 September 2025FIFA World Cup 26™ Concacaf QualifiersGroup B10 October 2025Bermuda0Trinidad and Tobago310 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup B15 October 2025Jamaica4Bermuda015 October 2025FIFA World Cup 26™ Concacaf QualifiersGroup B14 November 2025Bermuda0Curaçao714 November 2025FIFA World Cup 26™ Concacaf QualifiersGroup B19 November 2025Trinidad and Tobago2Bermuda219 November 2025,,976.87
167,St Lucia,FIFA World Cup 26™ Concacaf QualifiersGroup C06 June 2025Curaçao4St. Lucia006 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup C10 June 2025St. Lucia2Barbados110 June 2025CONCACAF Series 2025/26Group A12 November 2025Cuba3St. Lucia012 November 2025CONCACAF Series 2025/26Group A16 November 2025St. Vincent / Grenadines3St. Lucia116 November 2025FIFA Series 2026™ AzerbaijanSemi-final27 March 2026Azerbaijan6St. Lucia127 March 2026,,976.71
168,Papua New Guinea,FIFA World Cup 26™ OFC QualifiersGroup A17 November 2024Papua New Guinea1Solomon Islands217 November 2024MSG Prime Minister's Cup 2024Group Matches15 December 2024Papua New Guinea1Fiji115 December 2024MSG Prime Minister's Cup 2024Group Matches18 December 2024Papua New Guinea3Solomon Islands218 December 2024MSG Prime Minister's Cup 2024Group Matches21 December 2024Vanuatu1Papua New Guinea221 December 2024MSG Prime Minister's Cup 2025Group A13 November 2025Papua New Guinea1Solomon Islands013 November 2025,,974.90
169,Afghanistan,CAFA Nations Cup 2025Group B04 September 2025Afghanistan0India004 September 2025Asian Nations Cup 2027 Prel. Comp.Group E09 October 2025Pakistan0Afghanistan009 October 2025Asian Nations Cup 2027 Prel. Comp.Group E14 October 2025Afghanistan1Pakistan114 October 2025Asian Nations Cup 2027 Prel. Comp.Group E26 March 2026Afghanistan1Myanmar226 March 2026Asian Nations Cup 2027 Prel. Comp.Group E31 March 2026Syria5Afghanistan131 March 2026,MaldivesAfghanistan01 Jun16:00,972.75
170,South Sudan,FIFA World Cup 26™ CAF QualifiersGroup B10 October 2025South Sudan0Senegal510 October 2025FIFA World Cup 26™ CAF QualifiersGroup B13 October 2025South Sudan0Togo013 October 2025FIFA Arab Cup Qatar 2025™Play-off25 November 2025Syria2South Sudan025 November 2025CAN 2027 Prel. Comp.First Leg26 March 2026Djibouti0South Sudan426 March 2026CAN 2027 Prel. Comp.Second Leg29 March 2026South Sudan0Djibouti129 March 2026,,970.94
171,St Vincent and the Grenadines,FIFA World Cup 26™ Concacaf QualifiersGroup F04 June 2025St. Vincent / Grenadines6Anguilla004 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup F11 June 2025Puerto Rico2St. Vincent / Grenadines111 June 2025CONCACAF Series 2025/26Group A13 November 2025Dominican Republic2St. Vincent / Grenadines013 November 2025CONCACAF Series 2025/26Group A16 November 2025St. Vincent / Grenadines3St. Lucia116 November 2025CONCACAF Series 2025/26Group C29 March 2026Barbados2St. Vincent / Grenadines329 March 2026,,968.27
172,Maldives,Friendly 202509 September 2025Sri Lanka1Maldives109 September 2025Asian Nations Cup 2027 Prel. Comp.Group A09 October 2025Tajikistan2Maldives009 October 2025Asian Nations Cup 2027 Prel. Comp.Group A14 October 2025Maldives0Tajikistan314 October 2025Asian Nations Cup 2027 Prel. Comp.Group A18 November 2025Maldives0Philippines218 November 2025Asian Nations Cup 2027 Prel. Comp.Group A31 March 2026Maldives2Timor-Leste131 March 2026,MaldivesAfghanistan01 Jun16:00,954.93
173,Andorra,FIFA World Cup 26™ UEFA QualifiersGroup K14 October 2025Andorra1Serbia314 October 2025FIFA World Cup 26™ UEFA QualifiersGroup K13 November 2025Andorra0Albania113 November 2025Friendly 202517 November 2025Finland4Andorra017 November 2025Friendly 202627 March 2026Montenegro2Andorra027 March 2026Friendly 202631 March 2026San Marino0Andorra031 March 2026,IraqAndorra29 May15:00,945.34
174,Chinese Taipei,Friendly 202505 September 2025Indonesia6Chinese Taipei005 September 2025Asian Nations Cup 2027 Prel. Comp.Group D09 October 2025Thailand2Chinese Taipei009 October 2025Asian Nations Cup 2027 Prel. Comp.Group D14 October 2025Chinese Taipei1Thailand614 October 2025Asian Nations Cup 2027 Prel. Comp.Group D18 November 2025Turkmenistan3Chinese Taipei118 November 2025Asian Nations Cup 2027 Prel. Comp.Group D31 March 2026Chinese Taipei1Sri Lanka331 March 2026,,923.78
175,Montserrat,CONCACAF Nations League 2024/25Group A08 September 2024St. Vincent / Grenadines2Montserrat008 September 2024CONCACAF Nations League 2024/25Group A14 November 2024Montserrat1St. Vincent / Grenadines214 November 2024CONCACAF Nations League 2024/25Group A18 November 2024El Salvador1Montserrat018 November 2024FIFA World Cup 26™ Concacaf QualifiersGroup D04 June 2025Montserrat1Belize004 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup D11 June 2025Guyana3Montserrat011 June 2025,,916.75
176,Nepal,Asian Nations Cup 2027 Prel. Comp.Group F09 October 2025Vietnam3Nepal109 October 2025Asian Nations Cup 2027 Prel. Comp.Group F14 October 2025Nepal0Vietnam114 October 2025Friendly 202513 November 2025Bangladesh2Nepal213 November 2025Asian Nations Cup 2027 Prel. Comp.Group F18 November 2025Nepal0Malaysia118 November 2025Asian Nations Cup 2027 Prel. Comp.Group F31 March 2026Nepal0Laos131 March 2026,,914.54
177,Cambodia,ASEAN Mitsubishi Electric Cup 2024Group A20 December 2024Thailand3Cambodia220 December 2024Friendly 202519 March 2025Vietnam2Cambodia119 March 2025Friendly 202525 March 2025Cambodia1Aruba225 March 2025Friendly 202505 June 2025Cambodia1Tajikistan205 June 2025Friendly 202513 November 2025Hong Kong1Cambodia113 November 2025,CambodiaBhutan04 Jun12:00,911.54
178,Mauritius,FIFA World Cup 26™ CAF QualifiersGroup D09 September 2025Angola3Mauritius109 September 2025FIFA World Cup 26™ CAF QualifiersGroup D08 October 2025Mauritius0Cameroon208 October 2025FIFA World Cup 26™ CAF QualifiersGroup D13 October 2025Mauritius0Libya013 October 2025CAN 2027 Prel. Comp.First Leg27 March 2026Somalia0Mauritius027 March 2026CAN 2027 Prel. Comp.Second Leg31 March 2026Mauritius0(2)SomaliaWon 4 - 2 On Penalties0(4)31 March 2026,,911.49
179,Barbados,Friendly 202511 May 2025Dominica0Barbados011 May 2025FIFA World Cup 26™ Concacaf QualifiersGroup C04 June 2025Barbados1Aruba104 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup C10 June 2025St. Lucia2Barbados110 June 2025CONCACAF Series 2025/26Group C15 November 2025Barbados0Aruba315 November 2025CONCACAF Series 2025/26Group C29 March 2026Barbados2St. Vincent / Grenadines329 March 2026,,909.89
180,Belize,CONCACAF Gold Cup 2025 - Preliminary Competition2nd Leg26 March 2025Costa Rica6Belize126 March 2025FIFA World Cup 26™ Concacaf QualifiersGroup D04 June 2025Montserrat1Belize004 June 2025FIFA World Cup 26™ Concacaf QualifiersGroup D08 June 2025Belize0Panama208 June 2025CONCACAF Series 2025/26Group B18 November 2025St. Kitts and Nevis2Belize618 November 2025CONCACAF Series 2025/26Group B30 March 2026Guyana3Belize130 March 2026,,907.00
181,Bangladesh,Asian Nations Cup 2027 Prel. Comp.Group C14 October 2025Hong Kong1Bangladesh114 October 2025Friendly 202513 November 2025Bangladesh2Nepal213 November 2025Asian Nations Cup 2027 Prel. Comp.Group C18 November 2025Bangladesh1India018 November 2025Friendly 202626 March 2026Vietnam3Bangladesh026 March 2026Asian Nations Cup 2027 Prel. Comp.Group C31 March 2026Singapore1Bangladesh031 March 2026,PakistanBangladesh01 Jun11:00,899.53
